L,a,l,Outcome
"33,1",Mytilus trossulus,14.5,not_eaten
"24,8",Mytilus edulis,11.7,not_eaten
33,Mytilus edulis,14.4,not_eaten
"18,8",Mytilus edulis,6.9,not_eaten
34,Mytilus edulis,16.9,not_eaten
"22,6",Mytilus edulis,7.7,not_eaten
"34,5",Mytilus edulis,13.7,not_eaten
"17,8",Mytilus edulis,8.7,not_eaten
"29,9",Mytilus trossulus,12.7,not_eaten
"21,4",Mytilus trossulus,8.7,not_eaten
"34,5",Mytilus trossulus,14.6,not_eaten
"28,4",Mytilus trossulus,11.9,not_eaten
"19,9",Mytilus trossulus,9,not_eaten
"33,4",Mytilus edulis,15,not_eaten
"21,9",Mytilus trossulus,8.7,not_eaten
27,Mytilus edulis,11.6,not_eaten
"30,3",Mytilus trossulus,10.7,not_eaten
"22,2",Mytilus edulis,11.1,not_eaten
"18,4",Mytilus trossulus,7.7,not_eaten
34,Mytilus edulis,13.5,not_eaten
"25,1",Mytilus edulis,11.6,not_eaten
"27,8",Mytilus edulis,13.5,not_eaten
31,Mytilus edulis,14.1,not_eaten
"27,6",Mytilus edulis,11.6,not_eaten
"29,9",Mytilus trossulus,12.4,not_eaten
"30,4",Mytilus trossulus,14,not_eaten
"23,8",Mytilus edulis,14.2,not_eaten
"20,2",Mytilus edulis,9.7,not_eaten
"20,1",Mytilus edulis,8.7,not_eaten
"28,4",Mytilus edulis,13.3,not_eaten
30,Mytilus edulis,13,not_eaten
"32,9",Mytilus edulis,16,not_eaten
"33,3",Mytilus trossulus,15.4,not_eaten
31,Mytilus edulis,14.1,not_eaten
"18,2",Mytilus edulis,7.1,not_eaten
"21,6",Mytilus edulis,10.5,not_eaten
"21,1",Mytilus edulis,8.8,not_eaten
"21,3",Mytilus edulis,10.3,not_eaten
"25,4",Mytilus edulis,10.8,not_eaten
"29,7",Mytilus edulis,13.6,not_eaten
"24,1",Mytilus edulis,10.6,not_eaten
20,Mytilus edulis,8.4,not_eaten
"31,4",Mytilus edulis,13.6,not_eaten
"27,8",Mytilus trossulus,11.2,not_eaten
25,Mytilus edulis,10.7,not_eaten
"22,8",Mytilus edulis,9.8,not_eaten
"29,5",Mytilus edulis,13,not_eaten
"28,8",Mytilus trossulus,10.7,not_eaten
"25,9",Mytilus edulis,11.5,not_eaten
"30,9",Mytilus edulis,15.4,not_eaten
"17,7",Mytilus trossulus,7.9,not_eaten
31,Mytilus edulis,13.9,not_eaten
"19,2",Mytilus trossulus,8.5,not_eaten
"23,7",Mytilus edulis,11.7,not_eaten
"33,8",Mytilus trossulus,13.4,not_eaten
"21,9",Mytilus edulis,9.6,not_eaten
"25,5",Mytilus edulis,11.3,not_eaten
"31,5",Mytilus trossulus,14.8,not_eaten
19.6,Mytilus edulis,9.2,eaten
18.6,Mytilus trossulus,8,eaten
20.4,Mytilus edulis,9.1,eaten
34.2,Mytilus trossulus,14.5,eaten
20.1,Mytilus trossulus,7.9,eaten
29.6,Mytilus trossulus,13.5,eaten
21.5,Mytilus trossulus,11,eaten
21.4,Mytilus trossulus,11,eaten
"37,6",Mytilus edulis,14,not_eaten
"38,4",Mytilus edulis,14.9,not_eaten
"39,1",Mytilus trossulus,14.8,not_eaten
"22,7",Mytilus trossulus,7,not_eaten
"36,6",Mytilus trossulus,16.6,not_eaten
"37,5",Mytilus edulis,18.5,not_eaten
"20,2",Mytilus trossulus,8.9,not_eaten
"33,3",Mytilus edulis,14.4,not_eaten
"23,7",Mytilus trossulus,8,not_eaten
"27,3",Mytilus trossulus,12.2,not_eaten
"24,3",Mytilus edulis,11.2,not_eaten
"32,8",Mytilus edulis,14.7,not_eaten
"25,2",Mytilus edulis,10.2,not_eaten
"22,1",Mytilus edulis,8.8,not_eaten
"27,9",Mytilus edulis,13.1,not_eaten
"28,4",Mytilus edulis,11.7,not_eaten
"32,3",Mytilus edulis,15.4,not_eaten
"29,9",Mytilus edulis,13.7,not_eaten
"30,5",Mytilus edulis,13.1,not_eaten
"25,1",Mytilus edulis,10.7,not_eaten
24,Mytilus edulis,11.1,not_eaten
"24,8",Mytilus edulis,9.5,not_eaten
"18,9",Mytilus trossulus,8.1,not_eaten
"30,6",Mytilus edulis,13.9,not_eaten
"23,1",Mytilus edulis,11.4,not_eaten
28,Mytilus edulis,12.5,not_eaten
"33,5",Mytilus edulis,15.6,not_eaten
"27,8",Mytilus edulis,11.6,not_eaten
"19,1",Mytilus trossulus,8,not_eaten
"25,6",Mytilus edulis,11,not_eaten
"16,6",Mytilus trossulus,7.2,not_eaten
"32,7",Mytilus trossulus,13.3,not_eaten
"16,7",Mytilus edulis,7.6,not_eaten
"28,3",Mytilus edulis,11.9,not_eaten
"30,5",Mytilus trossulus,13.3,not_eaten
"23,9",Mytilus edulis,11.4,not_eaten
"16,6",Mytilus edulis,6.7,not_eaten
"35,1",Mytilus edulis,15.5,not_eaten
"23,3",Mytilus edulis,10.5,not_eaten
"24,6",Mytilus edulis,10.6,not_eaten
"26,1",Mytilus edulis,12,not_eaten
"21,1",Mytilus edulis,9.9,not_eaten
"26,4",Mytilus edulis,13.1,not_eaten
"27,7",Mytilus edulis,10.8,not_eaten
33,Mytilus trossulus,15.1,not_eaten
"19,2",Mytilus trossulus,8.3,not_eaten
"19,6",Mytilus edulis,9.1,not_eaten
"32,7",Mytilus edulis,13.5,not_eaten
"19,1",Mytilus edulis,8.6,not_eaten
"27,5",Mytilus edulis,11.3,not_eaten
"27,2",Mytilus trossulus,10.4,not_eaten
"19,5",Mytilus edulis,8.1,not_eaten
"21,2",Mytilus edulis,7.6,not_eaten
"24,4",Mytilus edulis,10,not_eaten
"30,1",Mytilus edulis,12.9,not_eaten
"25,8",Mytilus trossulus,10.8,not_eaten
"19,7",Mytilus trossulus,9.2,not_eaten
"26,7",Mytilus edulis,12.8,not_eaten
"32,9",Mytilus edulis,15.5,not_eaten
20,Mytilus edulis,9.1,eaten
26.3,Mytilus edulis,11.5,eaten
15.2,Mytilus trossulus,7.5,eaten
33.1,Mytilus trossulus,15.5,eaten
32.9,Mytilus edulis,13.8,eaten
21.2,Mytilus edulis,9.8,eaten
19.9,Mytilus edulis,8.9,eaten
29.4,Mytilus trossulus,13.2,eaten
30.8,Mytilus edulis,13.7,eaten
"26,6",Mytilus trossulus,11.2,not_eaten
"23,1",Mytilus edulis,10.1,not_eaten
21,Mytilus edulis,9.7,not_eaten
32,Mytilus edulis,14.1,not_eaten
"21,7",Mytilus edulis,9.5,not_eaten
"30,1",Mytilus trossulus,11.3,not_eaten
"35,2",Mytilus edulis,14.8,not_eaten
27,Mytilus edulis,12.2,not_eaten
"19,3",Mytilus edulis,8.6,not_eaten
"29,3",Mytilus trossulus,12.5,not_eaten
"31,7",Mytilus trossulus,13.7,not_eaten
"28,1",Mytilus edulis,13.3,not_eaten
"27,8",Mytilus edulis,11,not_eaten
"27,9",Mytilus edulis,12.5,not_eaten
"21,6",Mytilus trossulus,9.2,not_eaten
33,Mytilus edulis,14.4,not_eaten
"34,6",Mytilus trossulus,15.7,not_eaten
"21,6",Mytilus edulis,9.2,not_eaten
"27,6",Mytilus edulis,13.8,not_eaten
"26,4",Mytilus edulis,11.9,not_eaten
"22,7",Mytilus edulis,10.6,not_eaten
"33,2",Mytilus trossulus,14.4,not_eaten
31,Mytilus edulis,13.5,not_eaten
"22,1",Mytilus edulis,9.4,not_eaten
"32,9",Mytilus edulis,16.1,not_eaten
29,Mytilus edulis,12.9,not_eaten
"28,7",Mytilus edulis,13.2,not_eaten
"27,7",Mytilus edulis,12.2,not_eaten
"33,3",Mytilus edulis,15.1,not_eaten
"21,1",Mytilus edulis,10.2,not_eaten
"19,7",Mytilus edulis,8.7,not_eaten
"22,8",Mytilus edulis,9.5,not_eaten
"29,1",Mytilus edulis,12.4,not_eaten
33,Mytilus edulis,14.6,not_eaten
"33,9",Mytilus trossulus,14.4,not_eaten
"35,1",Mytilus edulis,16.2,not_eaten
"24,7",Mytilus trossulus,9.1,not_eaten
"30,4",Mytilus edulis,14,not_eaten
"28,5",Mytilus edulis,12.4,not_eaten
"23,7",Mytilus edulis,11.1,not_eaten
"20,8",Mytilus trossulus,8.1,not_eaten
"33,8",Mytilus edulis,16.2,not_eaten
33,Mytilus edulis,14.5,not_eaten
"28,8",Mytilus edulis,11.2,not_eaten
"20,4",Mytilus trossulus,7.6,not_eaten
"31,7",Mytilus trossulus,12.5,not_eaten
21,Mytilus edulis,9.1,not_eaten
"18,7",Mytilus trossulus,8.4,not_eaten
"29,6",Mytilus edulis,14.5,not_eaten
"18,4",Mytilus edulis,8.3,not_eaten
"31,2",Mytilus trossulus,14.8,not_eaten
"15,5",Mytilus trossulus,6.9,not_eaten
"32,5",Mytilus trossulus,14.5,not_eaten
"33,2",Mytilus trossulus,14.9,not_eaten
"21,5",Mytilus edulis,9.3,not_eaten
"21,8",Mytilus edulis,10.6,not_eaten
"20,1",Mytilus edulis,7.5,not_eaten
"24,3",Mytilus edulis,11.9,not_eaten
"23,9",Mytilus edulis,10.5,not_eaten
"23,2",Mytilus edulis,11.8,not_eaten
"18,1",Mytilus edulis,8.1,not_eaten
"21,1",Mytilus edulis,9.3,not_eaten
17,Mytilus trossulus,7.3,not_eaten
15.4,Mytilus trossulus,6.5,eaten
16.1,Mytilus trossulus,6.8,eaten
17.7,Mytilus trossulus,7.9,eaten
31,Mytilus edulis,12.8,eaten
20.5,Mytilus trossulus,7.9,eaten
20.5,Mytilus edulis,8.5,eaten
25.4,Mytilus edulis,11.3,eaten
31.4,Mytilus trossulus,13,eaten
19.3,Mytilus trossulus,8.2,eaten
15.6,Mytilus trossulus,6.5,eaten
23.6,Mytilus edulis,10.5,eaten
"18,5",Mytilus edulis,7.6,not_eaten
"22,9",Mytilus edulis,9.7,not_eaten
"19,7",Mytilus edulis,9.3,not_eaten
"31,8",Mytilus edulis,14.9,not_eaten
"34,7",Mytilus edulis,15,not_eaten
"34,6",Mytilus edulis,15,not_eaten
"32,5",Mytilus edulis,14.6,not_eaten
"29,6",Mytilus edulis,13.9,not_eaten
"31,5",Mytilus edulis,16.1,not_eaten
"31,5",Mytilus edulis,15.2,not_eaten
"31,2",Mytilus edulis,14.5,not_eaten
24,Mytilus trossulus,9.4,not_eaten
"26,3",Mytilus edulis,12.9,not_eaten
"30,9",Mytilus edulis,13.8,not_eaten
"28,3",Mytilus edulis,12.4,not_eaten
"25,2",Mytilus edulis,11,not_eaten
"31,2",Mytilus edulis,12.9,not_eaten
"32,5",Mytilus trossulus,14.3,not_eaten
"32,2",Mytilus trossulus,14.3,not_eaten
"20,3",Mytilus edulis,9.7,not_eaten
"30,4",Mytilus trossulus,11.7,not_eaten
"20,2",Mytilus edulis,11,not_eaten
"18,8",Mytilus trossulus,8.5,not_eaten
"30,2",Mytilus edulis,14.8,not_eaten
"26,5",Mytilus edulis,11.6,not_eaten
"19,3",Mytilus edulis,7.5,not_eaten
"31,6",Mytilus edulis,15.5,not_eaten
"33,1",Mytilus edulis,15.9,not_eaten
"26,3",Mytilus trossulus,12.8,not_eaten
"31,6",Mytilus trossulus,13.9,not_eaten
21,Mytilus trossulus,13.1,not_eaten
"19,3",Mytilus edulis,7.9,not_eaten
"23,3",Mytilus edulis,9.5,not_eaten
"23,9",Mytilus edulis,12.3,not_eaten
"29,8",Mytilus trossulus,12.9,not_eaten
"26,9",Mytilus edulis,13,not_eaten
"16,6",Mytilus trossulus,7.1,not_eaten
"18,3",Mytilus edulis,8.4,not_eaten
"20,8",Mytilus edulis,9.7,not_eaten
18,Mytilus trossulus,9,not_eaten
"17,8",Mytilus edulis,7.9,not_eaten
"18,9",Mytilus edulis,8.4,not_eaten
"28,3",Mytilus edulis,11.5,not_eaten
"22,2",Mytilus edulis,9.7,not_eaten
21,Mytilus edulis,9.4,not_eaten
"19,7",Mytilus edulis,9.9,not_eaten
"33,5",Mytilus trossulus,16.6,not_eaten
"34,5",Mytilus trossulus,14.1,not_eaten
"26,4",Mytilus edulis,11.3,not_eaten
"30,4",Mytilus edulis,14.1,not_eaten
"27,8",Mytilus edulis,12.4,not_eaten
"27,6",Mytilus edulis,12.8,not_eaten
"23,6",Mytilus edulis,11.4,not_eaten
"27,6",Mytilus edulis,11.9,not_eaten
"18,1",Mytilus edulis,6.9,not_eaten
"25,8",Mytilus edulis,11.8,not_eaten
"31,3",Mytilus trossulus,12.2,not_eaten
"16,3",Mytilus edulis,7.5,not_eaten
"32,2",Mytilus trossulus,12.1,not_eaten
"34,9",Mytilus edulis,18,not_eaten
34,Mytilus edulis,15.9,not_eaten
"23,7",Mytilus edulis,10.4,not_eaten
33,Mytilus edulis,14.8,not_eaten
"22,4",Mytilus edulis,9.1,not_eaten
"28,9",Mytilus trossulus,14.5,not_eaten
"22,3",Mytilus edulis,10.3,not_eaten
"29,4",Mytilus edulis,13.4,not_eaten
30,Mytilus edulis,13.1,not_eaten
"23,7",Mytilus edulis,10.9,not_eaten
"24,7",Mytilus edulis,9.7,not_eaten
"17,5",Mytilus trossulus,7.5,not_eaten
20.3,Mytilus edulis,8.6,eaten
25.4,Mytilus edulis,12.5,eaten
21.1,Mytilus trossulus,9.3,eaten
17.1,Mytilus trossulus,7.8,eaten
18.9,Mytilus edulis,7.7,eaten
16.2,Mytilus trossulus,7.1,eaten
29.9,Mytilus edulis,15.6,eaten
"33,2",Mytilus edulis,14.8,not_eaten
"31,2",Mytilus trossulus,15.1,not_eaten
28,Mytilus trossulus,11.7,not_eaten
"22,8",Mytilus edulis,10.9,not_eaten
"27,3",Mytilus edulis,14.5,not_eaten
"31,1",Mytilus edulis,14.8,not_eaten
"21,9",Mytilus edulis,9.2,not_eaten
"29,3",Mytilus trossulus,13.1,not_eaten
"19,7",Mytilus edulis,8.9,not_eaten
"33,6",Mytilus edulis,14.3,not_eaten
"34,5",Mytilus trossulus,15.4,not_eaten
26,Mytilus trossulus,11,not_eaten
"30,5",Mytilus trossulus,13.1,not_eaten
"30,9",Mytilus edulis,14.4,not_eaten
"28,1",Mytilus edulis,12.7,not_eaten
"34,4",Mytilus edulis,14,not_eaten
"25,3",Mytilus edulis,11.3,not_eaten
"30,9",Mytilus edulis,13.2,not_eaten
"19,8",Mytilus edulis,8.1,not_eaten
"27,3",Mytilus edulis,11.1,not_eaten
"22,7",Mytilus edulis,10.7,not_eaten
"19,8",Mytilus edulis,9.5,not_eaten
"35,6",Mytilus edulis,14.8,not_eaten
20,Mytilus trossulus,8.4,not_eaten
34,Mytilus trossulus,15,not_eaten
"23,4",Mytilus edulis,11.3,not_eaten
19,Mytilus trossulus,7.8,not_eaten
"25,9",Mytilus edulis,11.9,not_eaten
"25,3",Mytilus edulis,12.5,not_eaten
"19,2",Mytilus trossulus,8.5,not_eaten
"33,7",Mytilus edulis,15.5,not_eaten
"26,9",Mytilus edulis,11.5,not_eaten
"31,1",Mytilus trossulus,14,not_eaten
"25,1",Mytilus trossulus,10.9,not_eaten
"18,6",Mytilus edulis,8.8,not_eaten
35,Mytilus edulis,16.2,not_eaten
"19,4",Mytilus edulis,10.1,not_eaten
29,Mytilus trossulus,13.3,not_eaten
"21,2",Mytilus trossulus,8.7,not_eaten
"31,9",Mytilus edulis,14.9,not_eaten
"25,6",Mytilus edulis,12.1,not_eaten
"20,8",Mytilus trossulus,9.8,not_eaten
"19,8",Mytilus edulis,9.9,not_eaten
"32,1",Mytilus edulis,16.7,not_eaten
"30,3",Mytilus edulis,14.7,not_eaten
"18,4",Mytilus trossulus,8.6,not_eaten
"27,9",Mytilus edulis,13.1,not_eaten
"30,4",Mytilus edulis,11,not_eaten
"16,3",Mytilus trossulus,7,not_eaten
"23,8",Mytilus edulis,10.9,not_eaten
"17,7",Mytilus edulis,8.1,not_eaten
"29,5",Mytilus trossulus,14.1,not_eaten
"28,2",Mytilus edulis,11.8,not_eaten
"17,2",Mytilus trossulus,8.6,not_eaten
"34,2",Mytilus edulis,15.3,not_eaten
"19,3",Mytilus trossulus,8.8,not_eaten
"32,1",Mytilus edulis,14.8,not_eaten
27,Mytilus edulis,11.3,not_eaten
"22,1",Mytilus edulis,9.5,not_eaten
"28,4",Mytilus edulis,13.8,not_eaten
"29,2",Mytilus edulis,11.8,not_eaten
"21,4",Mytilus edulis,9.6,not_eaten
"19,4",Mytilus trossulus,8.9,not_eaten
25.6,Mytilus trossulus,11.5,eaten
16.6,Mytilus trossulus,7.6,eaten
16.9,Mytilus trossulus,7.5,eaten
33,Mytilus trossulus,12.6,eaten
32,Mytilus trossulus,14,eaten
30.7,Mytilus trossulus,14.2,eaten
25.4,Mytilus edulis,9.9,eaten
"27,6",Mytilus trossulus,11.9,not_eaten
"18,3",Mytilus edulis,8.5,not_eaten
28,Mytilus edulis,12.4,not_eaten
"20,9",Mytilus edulis,9.5,not_eaten
"19,9",Mytilus edulis,9.2,not_eaten
28,Mytilus edulis,12.9,not_eaten
"21,2",Mytilus edulis,10.3,not_eaten
"24,3",Mytilus edulis,11,not_eaten
"26,8",Mytilus edulis,13.2,not_eaten
"24,5",Mytilus edulis,12.9,not_eaten
"36,9",Mytilus edulis,16.5,not_eaten
"20,3",Mytilus edulis,9.1,not_eaten
"27,6",Mytilus trossulus,11.5,not_eaten
"24,2",Mytilus edulis,10.7,not_eaten
"25,1",Mytilus edulis,10.9,not_eaten
"30,8",Mytilus edulis,14.1,not_eaten
"28,5",Mytilus edulis,11.5,not_eaten
20,Mytilus trossulus,9.1,not_eaten
"30,4",Mytilus trossulus,12.7,not_eaten
"31,4",Mytilus edulis,14.4,not_eaten
"32,1",Mytilus edulis,14.5,not_eaten
"27,8",Mytilus edulis,13.6,not_eaten
"21,3",Mytilus edulis,9,not_eaten
22,Mytilus trossulus,10.2,not_eaten
"22,2",Mytilus edulis,11.3,not_eaten
32,Mytilus edulis,14.7,not_eaten
"26,2",Mytilus trossulus,11.8,not_eaten
"32,5",Mytilus trossulus,13.2,not_eaten
"32,9",Mytilus trossulus,14,not_eaten
"25,3",Mytilus edulis,11,not_eaten
"24,3",Mytilus edulis,11.4,not_eaten
"27,9",Mytilus edulis,11.7,not_eaten
"28,9",Mytilus trossulus,12.1,not_eaten
"19,1",Mytilus trossulus,7.9,not_eaten
"25,8",Mytilus edulis,11.9,not_eaten
"24,3",Mytilus edulis,11.4,not_eaten
"33,7",Mytilus edulis,15.6,not_eaten
30,Mytilus trossulus,12.5,not_eaten
"28,3",Mytilus trossulus,13.2,not_eaten
"20,4",Mytilus edulis,9.5,not_eaten
"32,4",Mytilus edulis,15.5,not_eaten
"31,4",Mytilus edulis,13.8,not_eaten
"27,4",Mytilus trossulus,12.5,not_eaten
"30,4",Mytilus edulis,12.9,not_eaten
"21,1",Mytilus edulis,9.3,not_eaten
32,Mytilus edulis,14,not_eaten
"18,8",Mytilus trossulus,8.6,not_eaten
"29,9",Mytilus trossulus,13.4,not_eaten
"31,7",Mytilus edulis,13.7,not_eaten
"26,6",Mytilus edulis,10.9,not_eaten
"31,3",Mytilus edulis,13.9,not_eaten
"22,3",Mytilus edulis,11.7,not_eaten
"23,5",Mytilus trossulus,9.4,not_eaten
"18,4",Mytilus trossulus,7.6,not_eaten
"17,2",Mytilus edulis,6.8,not_eaten
"22,6",Mytilus edulis,8.8,not_eaten
"20,3",Mytilus trossulus,9.3,not_eaten
"16,5",Mytilus edulis,7.2,not_eaten
"18,3",Mytilus trossulus,7.9,not_eaten
"19,9",Mytilus trossulus,8.1,not_eaten
"21,2",Mytilus trossulus,9.5,not_eaten
"21,2",Mytilus edulis,9.6,not_eaten
19.3,Mytilus edulis,8.9,eaten
20.6,Mytilus edulis,8.8,eaten
21,Mytilus trossulus,9.6,eaten
23.5,Mytilus trossulus,11,eaten
20.5,Mytilus edulis,10.3,eaten
17.7,Mytilus trossulus,8.3,eaten
19.5,Mytilus edulis,8.7,eaten
17.7,Mytilus trossulus,7.9,eaten
28.7,Mytilus edulis,14.1,eaten
"32,5",Mytilus edulis,13.8,not_eaten
"16,5",Mytilus trossulus,7.8,not_eaten
"30,8",Mytilus trossulus,14.7,not_eaten
"23,8",Mytilus trossulus,9.6,not_eaten
"26,7",Mytilus edulis,12.6,not_eaten
"29,2",Mytilus edulis,11.4,not_eaten
"20,1",Mytilus trossulus,9.1,not_eaten
"33,3",Mytilus trossulus,15.8,not_eaten
"19,9",Mytilus edulis,9.1,not_eaten
"33,1",Mytilus edulis,14,not_eaten
27,Mytilus edulis,11.4,not_eaten
"18,6",Mytilus edulis,9.8,not_eaten
"29,9",Mytilus trossulus,13.4,not_eaten
"23,3",Mytilus edulis,10.7,not_eaten
"32,3",Mytilus trossulus,14.4,not_eaten
"34,7",Mytilus edulis,14.1,not_eaten
"34,9",Mytilus edulis,16.4,not_eaten
"31,2",Mytilus trossulus,12.5,not_eaten
29,Mytilus edulis,12.2,not_eaten
"28,8",Mytilus trossulus,13.6,not_eaten
29,Mytilus edulis,14.3,not_eaten
"31,5",Mytilus trossulus,13.7,not_eaten
"33,3",Mytilus edulis,15.4,not_eaten
"17,7",Mytilus edulis,8.7,not_eaten
"31,4",Mytilus trossulus,13.7,not_eaten
"35,1",Mytilus edulis,16.2,not_eaten
"24,5",Mytilus edulis,10.4,not_eaten
"33,8",Mytilus edulis,16.3,not_eaten
"23,1",Mytilus trossulus,9.6,not_eaten
"33,5",Mytilus trossulus,14.5,not_eaten
"18,9",Mytilus edulis,7.5,not_eaten
"29,3",Mytilus edulis,11.5,not_eaten
"29,3",Mytilus edulis,13.1,not_eaten
"19,6",Mytilus edulis,9,not_eaten
"30,4",Mytilus edulis,13.7,not_eaten
20,Mytilus trossulus,9.4,not_eaten
"20,3",Mytilus edulis,9.9,not_eaten
"32,2",Mytilus edulis,14.7,not_eaten
"17,4",Mytilus trossulus,7.5,not_eaten
"30,5",Mytilus edulis,12.5,not_eaten
"20,8",Mytilus edulis,10,not_eaten
"23,6",Mytilus edulis,10.7,not_eaten
"17,6",Mytilus trossulus,7.9,not_eaten
"17,9",Mytilus trossulus,7.7,not_eaten
"21,5",Mytilus edulis,11,not_eaten
"28,5",Mytilus edulis,13.1,not_eaten
"29,1",Mytilus edulis,13,not_eaten
"21,1",Mytilus edulis,8.6,not_eaten
"32,4",Mytilus edulis,14.4,not_eaten
"27,9",Mytilus edulis,12.3,not_eaten
"29,1",Mytilus edulis,12.5,not_eaten
"23,5",Mytilus trossulus,9.1,not_eaten
"25,1",Mytilus trossulus,10,not_eaten
19,Mytilus trossulus,8.2,not_eaten
"28,3",Mytilus trossulus,12.1,not_eaten
"21,5",Mytilus edulis,9.5,not_eaten
"24,6",Mytilus edulis,9.3,not_eaten
20.1,Mytilus edulis,8.5,eaten
20.9,Mytilus edulis,9.7,eaten
18.2,Mytilus trossulus,8.1,eaten
19.2,Mytilus edulis,8.5,eaten
28.8,Mytilus trossulus,11.6,eaten
27.9,Mytilus trossulus,11.7,eaten
20.4,Mytilus edulis,9.5,eaten
22,Mytilus edulis,10.8,eaten
28,Mytilus trossulus,10.4,eaten
16.7,Mytilus edulis,7.5,eaten
16.6,Mytilus trossulus,7.9,eaten
"35,8",Mytilus trossulus,16.2,not_eaten
"20,3",Mytilus edulis,9.3,not_eaten
"35,2",Mytilus edulis,16,not_eaten
"27,2",Mytilus edulis,12.1,not_eaten
31,Mytilus edulis,16,not_eaten
"34,9",Mytilus edulis,16,not_eaten
"33,2",Mytilus edulis,16.3,not_eaten
"20,5",Mytilus edulis,10.2,not_eaten
"23,6",Mytilus edulis,10.4,not_eaten
"29,8",Mytilus edulis,14.2,not_eaten
"29,9",Mytilus edulis,12.4,not_eaten
"31,9",Mytilus edulis,13.5,not_eaten
"19,5",Mytilus edulis,9.2,not_eaten
"35,3",Mytilus edulis,15.7,not_eaten
"28,2",Mytilus edulis,11.7,not_eaten
29,Mytilus edulis,13.5,not_eaten
18,Mytilus trossulus,8,not_eaten
"19,7",Mytilus edulis,9,not_eaten
"21,4",Mytilus edulis,8.7,not_eaten
"20,4",Mytilus edulis,9.3,not_eaten
"33,2",Mytilus edulis,16,not_eaten
"20,9",Mytilus edulis,8.3,not_eaten
"29,5",Mytilus trossulus,13.5,not_eaten
"18,9",Mytilus edulis,8.4,not_eaten
"27,7",Mytilus edulis,11.6,not_eaten
"15,6",Mytilus trossulus,7,not_eaten
"25,2",Mytilus edulis,11,not_eaten
"29,2",Mytilus edulis,14,not_eaten
"32,1",Mytilus trossulus,12.5,not_eaten
"20,2",Mytilus edulis,9.5,not_eaten
24,Mytilus edulis,10.7,not_eaten
"20,7",Mytilus edulis,9.3,not_eaten
"20,7",Mytilus edulis,9.3,not_eaten
"32,1",Mytilus edulis,13.5,not_eaten
"28,3",Mytilus edulis,12.8,not_eaten
"27,7",Mytilus edulis,12.2,not_eaten
"32,6",Mytilus trossulus,13,not_eaten
